img_name,ground_truth
Screenshot 2025-04-11 174727.png,"#include <stdio.h>
#include <conio.h>
main ()
{
int i, number, count;
printf(""Prime no's from 1 to 50 are: \n"");
for (number = 1; number <= 50; number++)
{
count = 0;
for(i=2; i <= number/2; i++)
{
if (number % i == 0)
{
count++;
break;
}
}
if (count == 0 && number != 1)
{
printf(""%d "", number);
}
}
getch();
return 0;
}"
Screenshot 2025-04-11 174751.png,"#include <iostream>
#include <conio.h>
void main()
{
int x, fact=1;
clrscr();
cout << ""Enter the number: "";
cin >> x;
while (x>0)
{
fact = fact * x;
x--;
}
cout << ""factorial of the number is = "" << fact;
getch();
}"
Screenshot 2025-04-11 174805.png,"#include <stdio.h>
int main()
{
int a,b, i=1, j=1, gcd;
printf (""Enter two numbers: "");
scanf (""%d%d"", &a, &b);
do {
if (i%a==0 && i%b==0)
break;
else
i = i+1;
}
while (i<=a*b);
printf (""The LCM of %d and %d is %d"", a, b, i);
do
{
if (a%j == 0 && b%j == 0)
gcd = j;
j=j+1;
}
while (j<=a && j<=b);
printf (""In GCD of %d and %d is %d "", a, b, gcd);
return 0;
}"
Screenshot 2025-04-11 174820.png,"cout << ""Enter for the First Matrix"";
for (int i=1; i<=2; i++)
{
for (int j=1; j<=2; j++)
{
cin >> Arr1[i][j];
}
}
cout << ""Enter the Second Matrix"";
for (int k=1; k<=2; k++)
{
for (int l=1; l<=2; l++)
{
cin >> Arr2[k][l];"
Screenshot 2025-04-11 174844.png,"#include <iostream>
#include <conio.h>
void main()
{
int x, fact=1;
clrscr();
cout<<""Enter the number: "";
cin>>x;
while(x>0)
{
fact=fact*x;
x--;
}
cout<<""factorial of the number is=""<<fact;
getch();
}"
Screenshot 2025-04-11 174902.png,"#include <stdio.h>
int main ()
{
int n, i;
scanf(""%d"", &n);
int a [100001];
for (i=0; i<n; ++i) {
scanf (""%d"", &a[i]);
}
int key;
scanf(""%d"", &key);
int low = 0, high = n-1, mid;
while (low <= high) {
mid = low + (high-low)/2;
if (a[mid] == key) {
printf (""%d found \n"", key);
return 0;
}"
Screenshot 2025-04-11 174914.png,"#include <stdio.h>
int main()
{ int matrix[3][3]={{1,2,3},{2,3,4},{3,4,5}};
int i, j, Sum,Sqr;
Sum = 0;
for (i=1; i<=3; ++i)
{
j=i;
Sqr = matrix[i][j] * matrix[i][j];
Sum = Sum + Sqr;
}
printf(""Sum of squares of diagond Elements: %d\n"",Sum);
return 0;
}"
Screenshot 2025-04-11 174930.png,"#include <stdio.h>
#include <stdlib.h>
int main () {
int n, i, *ptr, sum = 0;
printf(""Enter number of elements
scanf(""%d"", &n);
ptr = (int*) malloc (n * sizeof (int
// memory allocated using malloc
if (ptr == NULL)
{
printf(""Sorry! unable to allocate 
exit (0);
}
printf(""Enter elements of array"");
for (i=0; i < n; i++)
{
scanf(""%d"", ptr + i);
sum += *(ptr + i);
}"
Screenshot 2025-04-11 174938.png,"#include <stdio.h>
#include <stdlib.h>
int main () {
int n, i, *ptr, sum = 0;
printf(""Enter number of elements: "");
scanf(""%d"", &n);
ptr = (int*) malloc (n * sizeof(int));
// memory allocated using malloc
if (ptr == NULL)
{
printf (""Sorry! unable to allocate memory"");
exit (0);
}
printf(""Enter elements of array: "");
for (i=0; i<n; i++)
{
scanf(""%d"", ptr + i);
sum += *(ptr + i);
}
printf (""Sum = %d"", sum);
free (ptr);
return 0;
}"
Screenshot 2025-04-11 174949.png,"#include <stdio.h>
#include <conio.h>
main ()
{
int i, number, count;
printf(""Prime no's from 1 to 50 are: \n"");
for (number = 1; number <= 50; number++)
{
count = 0;
for (i=2; i <= number/2; i++)
{
if (number % i == 0)
{
count++;
break;
}
}
if (count == 0 && number != 1)
{
printf(""%d "", number);
}
}
getch();
return 0;
}"
Screenshot 2025-04-11 174959.png,"#include <stdio.h>
int main()
{
int count=0, i;
char s[30];
printf(""Enter a String\n"");
scanf(""%s"", s);
for (i=0; s[i]!='\0'; i++)
{
if (s[i]==' ')
count++;
}
printf(""the number of words in a sentence %d\n"", count+1);
return 0;
}"
Screenshot 2025-04-11 175038.png,"#include <iostream>
#include <conio.h>
void main()
{
int x,fact=1;
clrscr();
cout<<""Enter the number: "";
cin>>x;
while(x>0)
{
fact=fact*x;
x--;
}
cout<<""factorial of the number is = ""<<fact;
getch();
}
"
Screenshot 2025-04-11 175058.png,"#include <stdio.h>
int main()
{
int a,b, i=1, j=1, gcd;
printf (""Enter two numbers: "");
scanf (""%d%d"", &a,&b);
do {
if (i%a==0 && i%b==0)
break;
else
i = i+1;
}
while (i<=a*b);
printf (""The LCM of %d and %d is %d"", a,b,i);
do
{
if (a%j == 0 && b%j == 0)
gcd = j;
j=j+1;
}
while (j<=a && j<=b);
printf (""\nGCD of %d and %d is %d "", a,b, gcd);
return 0;
}"
Screenshot 2025-04-11 175111.png,"#include <stdio.h>
int TOH (int, char, char, char);
{
int n;
printf(""Enter no. of discs"");
scanf(""%d"", &n);
printf(""Required sequence: "");
TOH(n, 'A', 'B', 'C');
}
int TOH (int n, char x, char y, char z)
{
if (n == 1)
{
printf(""the disc %d is changed\nfrom %c to %c"", n, x, z);
}
TOH(n-1, x, z, y);
printf(""the disc %d is changed\n%c to %c"", n, x, z);
TOH(n-1, y, x, z);
}"
Screenshot 2025-04-11 175134.png,"int main()
Vnt n; sum = 0;
fry{
if (""Print n = c""){
flag = Prime;
printf(""Not prime"");
}else
printf(""Count"");
}"
Screenshot 2025-04-11 175142.png,"int main()
Int n, l;
scanf(""Pat (nt n"");
for (lc;c)
Printf (""Get truet (n');
a=(4-1e-10);
if
printf(""\n"""");
)else
printf(sum"" = d + n;"");
}"
Screenshot 2025-04-11 175151.png,"int main()
int nt;
scanf(""%d"",&n);
printf(""fdrn"");
for(int i=1))
printf""first"");
printf""second 2"");
for i=0
printf(""fiisterst terms"");
}"
Screenshot 2025-04-11 175159.png,"int main()
int n,
scanf(""Print(a)n"");
printf(""xt"");
for(t=1;(t:-10)
}"
Screenshot 2025-04-11 175206.png,"int main()
int n, l, first, o, st=1, second=1;
scanf(""nxt ""n"");
printf(""s"");
printf(""first:"","");
add next();
for(l=1;l<=n;l++)
printf(""total=%d + term\n"",terms);
}"
Screenshot 2025-04-11 175212.png,"int main ()
int n, sum = 0;
scanf(""pt \n"");
while (count<0) (
count = n;
n = 10;
divide n to 10;
}"
Screenshot 2025-04-11 175321.png,"#include <stdio.h>
#include <conio.h>
void main()
{
int a[50],b[50],c[100],i,j,m,n;
clrscr();
printf(""\n Enter the 1st array"");
scanf(""%d"",&n);
printf(""\n Enter the 2nd array"");
scanf(""%d"",&m);
printf(""\n elements of 3rd array"");
for(i=0;i<n;i++)
{
scanf(""%d/t"",&a[i]);
}
printf(""\n elements of 2nd array"");
for(j=0;j<m;j++)
{
scanf(""%d/t"",&b[j]);"
Screenshot 2025-04-11 175336.png,"#include <stdio.h>
#include <conio.h>
#includes <dos.h>
#include <math.h>
void main()
{
int x,y,a,s,pow;
clrscr();
printf (""\n Enter the No: to find square"");
scanf (""%d"",&a);
s=a*a;
printf (""In the square of the given No:%d:%d"",a,s);
sleep(5);
printf (""\n Enter the coefficient and exponent"");
scanf (""%d it %d"",&n,&y);

"
Screenshot 2025-04-11 175424.png,"#include <stdio.h>
int TOH (int, char, char, char);
{
int n;
printf(""Enter no. of dises:"");
scanf (""%d"", &n);
printf (""Required sequence: "");
TOH (n,'A', 'B', 'C');
}
int TOH (int n, char x, char y, char z)
{
if (n == 1)
{
printf(""the disc %d is changed from %c to %c"");
}
TOH (n-1,x,z,y);
printf (""the disc %d is changed %c to %c"", n,x,y);
TOH (n-1,z,y,x);
}"
Screenshot 2025-04-11 175436.png,"#include <stdio.h>
int main ()
{
int n, i;
scanf (""%d"", &n);
int a [100001];
for (i=0; i<n; ++i) {
scanf (""%d"", &a[i]);
}
int key;
scanf(""%d"", &key);
int low = 0, high = n-1, mid;
while (low <= high) {
mid = low + (high-low)/2;
if (a[mid] == key) {
printf (""%d found \n"", key);
return 0;
}"
Screenshot 2025-04-11 175453.png,"#include <stdio.h>
int main()
{
int count=0, i;
char s[30];
printf(""Enter a string\n"");
scanf(""%s"",s);
for (i=0;s[i]!='\0';i++)
{
if (s[i]==' ')
count++;
}
printf(""the number of words in a sentence is %d\n"",count+1);
return 0;
}"
Screenshot 2025-04-11 175512.png,"#include <stdio.h>
int main()
{
int num;
printf (""Enter any number"");
scanf (""%d"", &num);
if (num %2 == 0)
{
printf (""The number is even "");
}
else
printf (""The number is odd"");
return 0;
}
"
Screenshot 2025-04-11 175528.png,"include <stdio.h>
{
int a;
printf(""od""+a);
return 10;
}
"
Screenshot 2025-04-11 175539.png,"#include <stdio.h>
{
float radius;
printf(radiust r);
printf(""area=airsio"");
printf(""area""=""ansza"");
return 0;
}"
Screenshot 2025-04-11 175547.png,"#include <stdio.h>
{read num;
print(a, b);
suop(con;a;b);
print(temp,temp);
return 0;
}
"
Screenshot 2025-04-11 175601.png,"#include <stdio.h>
{
read num;
print(a, b);
swap(con,a,b);
print(temp,temp);
return 0;
}"
Screenshot 2025-04-11 175620.png,"#include <stdio.h>
{
int a,b;
printf((sum)num);
printf(""%d"",num);
return 0;
}"
Screenshot 2025-04-11 175628.png,"#include <stdio.h>
{
char ch;
printf(""cc"", ch);
printf(""cjc"", sf = 'h');
printf(""%d"", cum|);
return 0;
}"
Screenshot 2025-04-11 175637.png,"include <stdio.h>
{ read+a,b;
printf(""sa"",a,b);
if((a<b)==0)
if(adivisible==1 ;
printf(""%d"");
}"
Screenshot 2025-04-11 175645.png,"include <stdio.h>
{
read num;
printf (aum;
if (a > b != 0 =x)  {
if (a = b) =""div"";}
}"
Screenshot 2025-04-11 175653.png,"#include <stdio.h>
{
float pie = 3.14;
int num;
printf(""%d = + a ="");
return 0;
}"
Screenshot 2025-04-11 175702.png,"#include <stdio.h>
{ float pie = 3.14;
int num;
printf(""%d = + a ="");
return 0;
}"
Screenshot 2025-04-11 175710.png,"#include <stdio.h>
{ int ch;
printf(""cum"");
printf(""%d"", sase rum"");
printf(""printf(""%d"" += sum2"");
return 0;
}"
Screenshot 2025-04-11 175722.png,"#include <stdio.h>
{ include num;
print num;
for(int inum; i=num){
printf(""%d"",num);
if(""id""even(or n.)==""odd"");
}"
Screenshot 2025-04-11 175730.png,"#include <stdio.h>
{
for int num;
for (int i=3; i<10; i++){
printf(""%d"",d"");
}
return 0;
}"
Screenshot 2025-04-11 175900.png,"#include <stdio.h>
#include <limits.h>
int main()
{
int Var1 = INT_MIN;
int Var2 = INT_MAX;
printf("" range of signed integer is from: %d to %d"",Var1,Var2);
return 0;
}
"
Screenshot 2025-04-11 175910.png,"#include <stdio.h>
#include <limits.h>
int main ()
{ unsigned int var1 = 0;
unsigned int var2 = UINT_MAX;
printf(""Range of unsigned integer is from: %u to %u, var1, var2);
return 0;
}"
Screenshot 2025-04-11 175932.png,"#Include <stdio.h>
#Include <conio.h>
# define size 5
int stack[size];
int top=-1;
void push();
void pop();
void display();
void main()
{
char ch='y';
int n;
clrscr();
while(ch=='y')
{
Printf(""1. Push"");
Printf(""\n2. Pop"");
Printf(""\n3. Display"");
Printf(""\nEnter choice"");
scanf(""%d"",&n);
switch(n)
{
case_1: push();
break;
case_2: pop();
break;
case_3: display();
break;
default: Printf(""wrong choice"");
}
}"
Screenshot 2025-04-11 180001.png,"#include <stdio.h>
int main() {
int i=8;
int *j;
j=&i;
printf(""Add i = %u\n"", &i);
printf(""Add i = %u\n"", j);
printf(""Add j = %u\n"", &j);
printf(""Value i = %d\n"", i);
printf(""Value i = %d\n"", &j);
printf(""Value i = %d\n"", *j);
return 0;
}
"
Screenshot 2025-04-11 180027.png,"#include <stdio.h>
int main()
{
int a,b, i=1, j=1, gcd;
printf (""Enter two numbers: "");
scanf (""%d%d"", &a, &b);
do {
if (i%a==0 && i%b==0)
break;
else
i = i+1;
}
while (i<=a*b);
printf (""The LCM of %d and %d is %d"", a, b, i);
do
{
if (a%j == 0 && b%j == 0)
gcd = j;
j=j+1;
}
while (j<=a && j<=b);
printf (""In GCD of %d and %d is %d "", a, b, gcd);
return 0;
}"
Screenshot 2025-04-11 180035.png,"#include <iostream>
#include <conio.h>
void main()
{
int x, fact=1;
clrscr();
cout << ""Enter the number: "";
cin >> x;
while (x>0)
{
fact = fact * x;
x--;
}
cout << ""factorial of the number is = "" << fact;
getch();
}
"
Screenshot 2025-04-11 180117.png,"include <stdio.h>
{ include stdio.h>
int array(T) = 11;
for (i=0; i<10; i++){
printf(""%d"",T[i]);
return 0;
}"
Screenshot 2025-04-11 180125.png,"#include <stdio.h>
{ include stdio.h>
int n=15;n)
if (i=0;i++) {
for(i=(in;i++)
printf(for 1(11);
return 0;
}"
Screenshot 2025-04-11 180133.png,"#include <stdio.h>
{ int t(y)
print(n;
print(ny='n';
print(t eve.n!);
return 0;
}
"
Screenshot 2025-04-11 180141.png,"#include <stdio.h>
{
include <x.bc;
read(x;y)
print(x,op,op);
a+x00;
return 0;
}"
Screenshot 2025-04-11 180157.png,"include <stdio.h>
{ int main()
int n;
for(int l n:= 1);
print(""\n(n);
return 0;
}
"
Screenshot 2025-04-11 180204.png,"#include <stdio.h>
{ int rum()
print (sum);
a = (a, b == 0);
a = t(a >= a)
if (a = b > ct)
eise if (a > b = c);
else if (c=a)
}"
Screenshot 2025-04-11 180212.png,"include <stdio.h>
{ int sert()
read (int k: d);
op = + (up), op;
scnff(in);
print(""factoriat);
return 0;
}"
Screenshot 2025-04-11 180219.png,"#include <stdio.h>
#include string h
scanf(stringfms);
scanf(string,""%s"");
return 0;"
Screenshot 2025-04-11 180226.png,"#include <stdio.h>
{ include string()
scanf(string, s1);
scant(string, s2);
return 0;
}"
Screenshot 2025-04-11 180236.png,"#include <stdio.h>
{ int main()
read (int, n"", i= n);
if (elsen)
printf (""even"", odd);
return 0;
}
"
Screenshot 2025-04-11 180243.png,"#include <stdio.h>
{ include a, b;
print(""averr + );
print(""even' = a 'odd');
return 0;
}"
Screenshot 2025-04-11 180256.png,"include <stdio.h>
{ include ni)
read (inen;
print(factorial n);
for (l=0; l=n)
for (i=1; i=n)
if or (f<2; <=n<:CH+){
diviidivisible);
index=1;
}"
Screenshot 2025-04-11 180305.png,"#include <stdio.h>
{ include array(6)
print(numor.(st.sr);
print(""length"":strlen("""");
return 0;
}"
Screenshot 2025-04-11 180311.png,"include <string>
{
read(Int.str);
scanf(String.s1);
streat(String.s2);
return(sf)
}"
